"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3680";"T001038";"GM0480";"1982JJ00";"    8429"
"3681";"T001038";"GM0480";"1983JJ00";"    8622"
"3682";"T001038";"GM0480";"1984JJ00";"    8852"
"3683";"T001038";"GM0480";"1985JJ00";"    9060"
"3684";"T001038";"GM0480";"1986JJ00";"    9075"
"3685";"T001038";"GM0480";"1987JJ00";"    9080"
"3686";"T001038";"GM0480";"1988JJ00";"    9098"
"3687";"T001038";"GM0480";"1989JJ00";"    9089"
"3688";"T001038";"GM0480";"1990JJ00";"    9135"
"3689";"T001038";"GM0480";"1991JJ00";"    9255"
"3690";"T001038";"GM0480";"1992JJ00";"    9301"
"3691";"T001038";"GM0480";"1993JJ00";"    9304"
"3692";"T001038";"GM0480";"1994JJ00";"    9355"
"3693";"T001038";"GM0480";"1995JJ00";"    9297"
"3694";"T001038";"GM0480";"1996JJ00";"    9282"
"3695";"T001038";"GM0480";"1997JJ00";"    9205"
"3696";"T001038";"GM0480";"1998JJ00";"    9163"
"3697";"T001038";"GM0480";"1999JJ00";"    9130"
"3698";"T001038";"GM0480";"2000JJ00";"    9074"
"3699";"T001038";"GM0480";"2001JJ00";"    9080"
"3700";"T001038";"GM0480";"2002JJ00";"    9083"
"3701";"T001038";"GM0480";"2003JJ00";"    9080"
"3702";"T001038";"GM0480";"2004JJ00";"    9010"
"3703";"T001038";"GM0480";"2005JJ00";"    8999"
"3704";"T001038";"GM0480";"2006JJ00";"    8988"
"3705";"T001038";"GM0480";"2007JJ00";""
"3706";"T001038";"GM0480";"2008JJ00";""
"3707";"T001038";"GM0480";"2009JJ00";""
"3708";"T001038";"GM0480";"2010JJ00";""
"3709";"T001038";"GM0480";"2011JJ00";""
"3710";"T001038";"GM0480";"2012JJ00";""
"3711";"T001038";"GM0480";"2013JJ00";""
"3712";"T001038";"GM0480";"2014JJ00";""
"3713";"T001038";"GM0480";"2015JJ00";""
"3714";"T001038";"GM0480";"2016JJ00";""
"3715";"T001038";"GM0480";"2017JJ00";""
"3716";"T001038";"GM0480";"2018JJ00";""
"3717";"T001038";"GM0648";"1960JJ00";"    3955"
"3718";"T001038";"GM0648";"1961JJ00";"    3881"
"3719";"T001038";"GM0648";"1962JJ00";"    3855"
"3720";"T001038";"GM0648";"1963JJ00";"    3797"
"3721";"T001038";"GM0648";"1964JJ00";"    3801"
"3722";"T001038";"GM0648";"1965JJ00";"    3783"
"3723";"T001038";"GM0648";"1966JJ00";"    3798"
"3724";"T001038";"GM0648";"1967JJ00";"    3786"
"3725";"T001038";"GM0648";"1968JJ00";"    3787"
"3726";"T001038";"GM0648";"1969JJ00";"    3802"
"3727";"T001038";"GM0648";"1970JJ00";"    3853"
"3728";"T001038";"GM0648";"1971JJ00";"    3841"
"3729";"T001038";"GM0648";"1972JJ00";"    3857"
"3730";"T001038";"GM0648";"1973JJ00";"    3876"
"3731";"T001038";"GM0648";"1974JJ00";"    3864"
"3732";"T001038";"GM0648";"1975JJ00";"    3865"
"3733";"T001038";"GM0648";"1976JJ00";"    3869"
"3734";"T001038";"GM0648";"1977JJ00";"    3872"
"3735";"T001038";"GM0648";"1978JJ00";"    3929"
"3736";"T001038";"GM0648";"1979JJ00";"    3908"
