"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"567840";"T001038";"10300";"T001019";"PV20  ";"1988JJ00";"    6137"
"567841";"T001038";"10300";"T001019";"PV20  ";"1989JJ00";"    6144"
"567842";"T001038";"10300";"T001019";"PV20  ";"1990JJ00";"    6220"
"567843";"T001038";"10300";"T001019";"PV20  ";"1991JJ00";"    6225"
"567844";"T001038";"10300";"T001019";"PV20  ";"1992JJ00";"    6056"
"567845";"T001038";"10300";"T001019";"PV20  ";"1993JJ00";"    6092"
"567846";"T001038";"10300";"T001019";"PV20  ";"1994JJ00";"    6546"
"567847";"T001038";"10300";"T001019";"PV20  ";"1995JJ00";"    6462"
"567848";"T001038";"10300";"T001019";"PV20  ";"1996JJ00";"    6142"
"567849";"T001038";"10300";"T001019";"PV20  ";"1997JJ00";"    6153"
"567850";"T001038";"10300";"T001019";"PV20  ";"1998JJ00";"    6350"
"567851";"T001038";"10300";"T001019";"PV20  ";"1999JJ00";"    6264"
"567852";"T001038";"10300";"T001019";"PV20  ";"2000JJ00";"    6166"
"567853";"T001038";"10300";"T001019";"PV20  ";"2001JJ00";"    6335"
"567854";"T001038";"10300";"T001019";"PV20  ";"2002JJ00";"    6528"
"567855";"T001038";"10300";"T001019";"PV20  ";"2003JJ00";"    6587"
"567856";"T001038";"10300";"T001019";"PV20  ";"2004JJ00";"    6567"
"567857";"T001038";"10300";"T001019";"PV20  ";"2005JJ00";"    6602"
"567858";"T001038";"10300";"T001019";"PV20  ";"2006JJ00";"    6418"
"567859";"T001038";"10300";"T001019";"PV20  ";"2007JJ00";"    6311"
"567860";"T001038";"10300";"T001019";"PV20  ";"2008JJ00";"    5940"
"567861";"T001038";"10300";"T001019";"PV20  ";"2009JJ00";"    5764"
"567862";"T001038";"10300";"T001019";"PV20  ";"2010JJ00";"    5682"
"567863";"T001038";"10300";"T001019";"PV20  ";"2011JJ00";"    5598"
"567864";"T001038";"10300";"T001019";"PV20  ";"2012JJ00";"    5795"
"567865";"T001038";"10300";"T001019";"PV20  ";"2013JJ00";"    5796"
"567866";"T001038";"10300";"T001019";"PV20  ";"2014JJ00";"    5593"
"567867";"T001038";"10300";"T001019";"PV20  ";"2015JJ00";"    5620"
"567868";"T001038";"10300";"T001019";"PV20  ";"2016JJ00";"    5396"
"567869";"T001038";"10300";"T001019";"PV20  ";"2017JJ00";"    5139"
"567870";"T001038";"10300";"T001019";"PV20  ";"2018JJ00";"    5227"
"567871";"T001038";"10300";"T001019";"PV20  ";"2019JJ00";"    5122"
"567968";"T001038";"10300";"T001019";"PV24  ";"1988JJ00";"    3486"
"567969";"T001038";"10300";"T001019";"PV24  ";"1989JJ00";"    3757"
"567970";"T001038";"10300";"T001019";"PV24  ";"1990JJ00";"    3880"
"567971";"T001038";"10300";"T001019";"PV24  ";"1991JJ00";"    4039"
"567972";"T001038";"10300";"T001019";"PV24  ";"1992JJ00";"    4186"
"567973";"T001038";"10300";"T001019";"PV24  ";"1993JJ00";"    4129"
"567974";"T001038";"10300";"T001019";"PV24  ";"1994JJ00";"    4524"
"567975";"T001038";"10300";"T001019";"PV24  ";"1995JJ00";"    4574"
"567976";"T001038";"10300";"T001019";"PV24  ";"1996JJ00";"    4556"
"567977";"T001038";"10300";"T001019";"PV24  ";"1997JJ00";"    4649"
"567978";"T001038";"10300";"T001019";"PV24  ";"1998JJ00";"    4923"
"567979";"T001038";"10300";"T001019";"PV24  ";"1999JJ00";"    4829"
"567980";"T001038";"10300";"T001019";"PV24  ";"2000JJ00";"    4848"
"567981";"T001038";"10300";"T001019";"PV24  ";"2001JJ00";"    5135"
"567982";"T001038";"10300";"T001019";"PV24  ";"2002JJ00";"    5499"
"567983";"T001038";"10300";"T001019";"PV24  ";"2003JJ00";"    5673"
"567984";"T001038";"10300";"T001019";"PV24  ";"2004JJ00";"    5682"
"567985";"T001038";"10300";"T001019";"PV24  ";"2005JJ00";"    5886"
"567986";"T001038";"10300";"T001019";"PV24  ";"2006JJ00";"    5816"
"567987";"T001038";"10300";"T001019";"PV24  ";"2007JJ00";"    5776"
"567988";"T001038";"10300";"T001019";"PV24  ";"2008JJ00";"    5561"
"567989";"T001038";"10300";"T001019";"PV24  ";"2009JJ00";"    5402"
"567990";"T001038";"10300";"T001019";"PV24  ";"2010JJ00";"    5396"
"567991";"T001038";"10300";"T001019";"PV24  ";"2011JJ00";"    5352"
"567992";"T001038";"10300";"T001019";"PV24  ";"2012JJ00";"    5274"
"567993";"T001038";"10300";"T001019";"PV24  ";"2013JJ00";"    5433"
"567994";"T001038";"10300";"T001019";"PV24  ";"2014JJ00";"    5411"
"567995";"T001038";"10300";"T001019";"PV24  ";"2015JJ00";"    5167"
"567996";"T001038";"10300";"T001019";"PV24  ";"2016JJ00";"    5063"
"567997";"T001038";"10300";"T001019";"PV24  ";"2017JJ00";"    4747"
"567998";"T001038";"10300";"T001019";"PV24  ";"2018JJ00";"    5120"
